Artist ID,Name,Nationality,Gender,Birth Year,Death Year
319,Thomas Bamberger,American,Male,1948,
320,McDonald (Mackey Jeffries) Bane,American,Female,1928,
321,Colette Bangert,American,Female,1934,
322,Walter Darby Bannard,American,Male,1934,2016
323,John Banting,British,Male,1902,1972
324,Rudolf Baranik,American,Male,1920,1998
325,Vladimir Baranoff-Rossiné,Ukrainian,Male,1888,1944
327,Anthony Barboza,American,Male,1944,
329,Miquel Barcelo,Spanish,Male,1957,
330,Peter Bardazzi,American,Male,1943,
331,J. Baric,French,Male,1825,1905
332,Richard Baringer,American,Male,1921,1980
333,George Barker,Australian,Male,1942,
334,Walter William Barker,American,Male,1921,2004
335,Ernst Barlach,German,Male,1870,1938
336,George Barnard,American,Male,1819,1902
337,Cyril H. Barnes,American,Male,,
338,Matthew Rackham Barnes,American,Male,1880,1951
339,Robert Barnes,American,Male,1934,
342,Will Barnet,American,Male,1911,2012
343,Tina Barney,American,Female,1945,
344,Hannelore Baron,American,Female,1926,1987
345,Martin Barooshian,American,Male,1929,
347,Steve Barraclough,British,Male,,
348,Maurice Barraud,Swiss,Male,1889,1955
349,Susan Barron,American,Female,1947,
350,Thomas F. Barrow,American,Male,1938,
351,D. F. Barry,American,Male,1854,1934
352,Robert Barry,American,Male,1936,
353,Robert Bart,American,Male,1923,
354,Frances Barth,American,Female,1946,
355,Ruodi Barth,Swiss,Male,1921,1999
356,"Ralph Bartholomew, Jr.",American,Male,1907,1985
357,Jennifer Bartlett,American,Female,1941,
358,Robert Bartlett,British,Male,1922,1979
359,Carlo Bartoli,Italian,Male,1931,
360,Luigi Bartolini,Italian,Male,1892,1963
361,Joseph Bartscherer,American,Male,1954,
362,Gianfranco Baruchello,Italian,Male,1924,
363,Héctor Basaldua,Argentine,Male,1895,1976
364,Bernard Baschet,French,Male,1917,2015
365,François Baschet,French,Male,1920,2014
366,Georg Baselitz,German,Male,1938,
368,Mati Basis,Israeli,Male,1933,
369,Leonard Baskin,American,Male,1922,2000
370,Jean-Michel Basquiat,American,Male,1960,1988
371,Joel Bass,American,Male,1943,
372,Saul Bass,American,Male,1920,1996
373,Giampiero Bassi,Italian,,1926,
374,Miriam Bat-Yosef,German,Female,1931,
377,Josef Bato,Hungarian,Male,1888,1966
378,John Battan,American,Male,1943,1976
379,Wall Batterton,British,Male,1932,
380,Dora M. Batty,British,Female,1900,1966
381,Eugen Batz,German,Male,1905,1986
382,"Harry W. Batz, Jr.",American,Male,,
383,André Bauchant,French,Male,1873,1958
384,Karl Bauer,German,Male,1868,1942
385,Rudolph Bauer,American,Male,1889,1954
386,Mary Bauermeister,American,Female,1934,
387,Bauhaus,German,,,
388,Marilyn Baum,American,Female,1939,
390,Hans Theo Baumann,German,Male,1924,
391,Otto Baumberger,Swiss,Male,1889,1961
392,Willi Baumeister,German,Male,1889,1955
393,Lothar Baumgarten,German,Male,1944,
395,Edward Bawden,British,Male,1903,1989
396,Glen Baxter,British,Male,,
397,Iain Baxter&,Canadian,Male,1936,
398,Hippolyte Bayard,French,Male,1801,1887
399,Herbert Bayer,American,Male,1900,1985
401,Ed Baynard,American,Male,1940,
402,Thomas Bayrle,German,Male,1937,
403,Douglas Baz,American,Male,1943,
404,Jean Bazaine,French,Male,1904,2001
405,Castera Bazile,Haitian,Male,1923,1966
406,William Baziotes,American,Male,1912,1963
407,Gifford Beal,American,Male,1879,1956
408,Jack Beal,American,Male,1931,2013
409,Lester Beall,American,Male,1903,1969
411,Mark Beard,American,Male,1956,
412,Romare Bearden,American,Male,1911,1988
413,Aubrey Beardsley,British,Male,1872,1898
414,Bruce Beasley,American,Male,1939,
415,Beath,British,,1913,1991
416,Felice Beato,Italian,Male,1825,1903
417,Cecil Beaton,British,Male,1904,1980
418,Leslie Beaton,American,Female,,
419,Robert Beauchamp,American,Male,1923,1995
420,André Beaudin,French,Male,1895,1975
421,Alessandro Becchi,Italian,Male,1946,
422,Bernd Becher,German,Male,1931,2007
423,Thelma Becherer,American,Female,1916,2008
424,Robert Bechtle,American,Male,1932,
425,Gustav K. Beck,Austrian,Male,1902,1983
426,A. Becker,German,,,
427,Fred Becker,American,Male,1913,2004
428,Bill Beckley,American,Male,1946,
429,Max Beckmann,German,Male,1884,1950
430,Francis Bedford,British,Male,1816,1894
431,René Beeh,German,Male,1886,1922
432,Jan Bontjes van Beek,German,Male,1899,1969
433,Chris Hendrik Beekman,Dutch,Male,1887,1964
434,Max Beerbohm,British,Male,1872,1956
436,Hedda Beese,German,Female,1944,
437,"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",British,,1866,1949
438,Peter Behrens,German,Male,1868,1940
439,Edith Behring,Brazilian,Female,1916,1996
440,John Behringer,American,Male,1939,
441,J. J. Beljon,Dutch,Male,1922,2002
442,Alistair Macready Bell,Canadian,Male,1913,1997
443,Charles M. Bell,American,Male,1848,1893
444,Larry Bell,American,Male,1939,
445,Vanessa Bell,British,Female,1879,1961
446,William H. Bell,American,Male,1830,1910
447,Ross Bellah,American,Male,1907,2004
448,Joseph Bellanca,American,Male,1930,
449,John Bellany,British,Male,1942,2013
450,Rudolf Belling,German,Male,1886,1972
451,Mario Bellini,Italian,Male,1935,
452,Hans Bellmer,German,Male,1902,1975
453,Ernest J. Bellocq,American,Male,1873,1949
455,George Bellows,American,Male,1882,1925
456,Rossella Bellusci,Italian,Female,1947,
457,Giandomenico Belotti,Italian,Male,1922,
458,Christian Belpaire,Congolese,Male,1949,
459,Antoli Pawlowitsch Belski,Russian,Male,1896,1971
461,David Ben Shaul,Israeli,Male,,
462,Ahron Ben-Shmuel,American,Male,1903,1984
463,Ben-Zion,American,Male,1897,1987
464,Adolf Benca,American,Male,1959,
465,W. T. Benda,American,Male,1873,1948
